iter	Passed	Remaining
508	2954	2849
509	2959	2843
510	2965	2837
511	2970	2831
512	2976	2825
513	2982	2819
514	2987	2813
515	2992	2807
516	2998	2801
517	3003	2794
518	3008	2788
519	3014	2782
520	3020	2776
521	3025	2770
522	3030	2763
523	3035	2757
524	3041	2751
525	3047	2746
526	3053	2740
527	3058	2734
528	3064	2728
529	3069	2722
530	3075	2716
531	3080	2710
532	3086	2704
533	3091	2697
534	3096	2691
535	3102	2685
536	3107	2679
537	3113	2673
538	3118	2667
539	3125	2662
540	3130	2656
541	3136	2650
542	3142	2644
543	3148	2639
544	3154	2633
545	3159	2627
546	3164	2620
547	3169	2614
548	3175	2608
549	3181	2603
550	3187	2597
551	3192	2590
552	3197	2584
553	3203	2578
554	3208	2572
555	3214	2567
556	3220	2561
557	3225	2554
558	3230	2548
559	3236	2543
560	3242	2537
561	3248	2532
562	3254	2525
563	3259	2519
564	3265	2513
565	3270	2507
566	3275	2501
567	3280	2495
568	3286	2489
569	3291	2482
570	3296	2476
571	3301	2470
572	3307	2464
573	3313	2458
574	3318	2452
575	3323	2446
576	3329	2441
577	3335	2435
578	3341	2429
579	3345	2422
580	3351	2416
581	3356	2410
582	3363	2405
583	3368	2399
584	3378	2396
585	3387	2393
586	3395	2388
587	3401	2383
588	3408	2378
589	3413	2372
590	3420	2367
591	3426	2361
592	3431	2355
593	3437	2349
594	3443	2343
595	3449	2337
596	3455	2332
597	3460	2326
598	3466	2320
599	3472	2314
600	3478	2309
601	3483	2302
602	3488	2296
603	3494	2290
604	3499	2284
605	3504	2278
606	3510	2273
607	3516	2266
608	3519	2259
609	3525	2253
610	3530	2247
611	3535	2241
612	3541	2236
613	3547	2230
614	3552	2223
615	3558	2218
616	3564	2212
617	3569	2206
618	3575	2200
619	3581	2194
620	3586	2188
621	3591	2182
622	3596	2176
623	3602	2170
624	3608	2165
625	3614	2159
626	3619	2153
627	3625	2147
628	3630	2141
629	3636	2135
630	3642	2129
631	3647	2123
632	3653	2117
633	3656	2110
634	3662	2104
635	3667	2099
636	3673	2093
637	3678	2087
638	3684	2081
639	3690	2075
640	3696	2070
641	3702	2064
642	3708	2058
643	3713	2052
644	3718	2046
645	3724	2040
646	3730	2035
647	3735	2029
648	3741	2023
649	3746	2017
650	3751	2011
651	3757	2005
652	3763	2000
653	3768	1993
654	3775	1988
655	3780	1982
656	3785	1976
657	3790	1970
658	3796	1964
659	3801	1958
660	3806	1952
661	3811	1946
662	3815	1939
663	3820	1933
664	3826	1927
665	3832	1921
666	3838	1916
667	3843	1910
668	3849	1904
669	3855	1899
670	3861	1893
671	3866	1887
672	3872	1881
673	3878	1875
674	3881	1869
675	3887	1863
676	3892	1857
677	3898	1851
678	3903	1845
679	3909	1839
680	3911	1832
681	3916	1826
682	3923	1820
683	3928	1815
684	3932	1808
685	3937	1802
686	3943	1796
687	3948	1790
688	3953	1784
689	3958	1778
690	3964	1772
691	3970	1767
692	3976	1761
693	3982	1755
694	3986	1749
695	3991	1743
696	3996	1737
697	4003	1732
698	4008	1726
699	4014	1720
700	4019	1714
701	4024	1708
702	4030	1702
703	4036	1697
704	4040	1690
705	4044	1684
706	4048	1677
707	4055	1672
708	4060	1666
709	4066	1660
710	4071	1655
711	4077	1649
712	4083	1643
713	4089	1637
714	4094	1632
715	4097	1625
716	4103	1619
717	4109	1613
718	4114	1608
719	4120	1602
720	4126	1596
721	4132	1591
722	4135	1584
723	4141	1578
724	4147	1573
725	4150	1566
726	4156	1560
727	4162	1555
728	4168	1549
729	4174	1544
730	4180	1538
731	4187	1533
732	4193	1527
733	4199	1521
734	4205	1516
735	4211	1510
736	4218	1505
737	4224	1499
738	4231	1494
739	4236	1488
740	4243	1483
741	4249	1477
742	4255	1472
743	4261	1466
744	4267	1460
745	4273	1455
746	4279	1449
747	4285	1443
748	4291	1438
749	4295	1431
750	4301	1426
751	4304	1419
752	4309	1413
753	4312	1406
754	4317	1401
755	4324	1395
756	4329	1389
757	4335	1384
758	4340	1378
759	4345	1372
760	4351	1366
761	4356	1360
762	4359	1354
763	4365	1348
764	4370	1342
765	4375	1336
766	4378	1330
767	4384	1324
768	4390	1318
769	4395	1312
770	4401	1307
771	4407	1301
772	4412	1295
773	4417	1289
774	4423	1284
775	4426	1277
776	4431	1271
777	4437	1266
778	4442	1260
779	4448	1254
780	4454	1249
781	4459	1243
782	4465	1237
783	4471	1231
784	4476	1226
785	4482	1220
786	4488	1214
787	4493	1208
788	4498	1203
789	4504	1197
790	4511	1191
791	4516	1186
792	4522	1180
793	4527	1174
794	4533	1169
795	4539	1163
796	4545	1157
797	4551	1152
798	4556	1146
799	4562	1140
800	4568	1134
801	4573	1129
802	4578	1123
803	4584	1117
804	4589	1111
805	4595	1106
806	4600	1100
807	4606	1094
808	4611	1088
809	4616	1082
810	4622	1077
811	4627	1071
812	4633	1065
813	4638	1059
814	4646	1054
815	4651	1048
816	4657	1043
817	4664	1037
818	4670	1032
819	4676	1026
820	4681	1020
821	4686	1014
822	4691	1009
823	4697	1003
824	4702	997
825	4708	991
826	4714	986
827	4716	979
828	4722	974
829	4727	968
830	4732	962
831	4737	956
832	4743	950
833	4749	945
834	4754	939
835	4760	933
836	4765	928
837	4771	922
838	4777	916
839	4783	911
840	4788	905
841	4794	899
842	4799	893
843	4805	888
844	4810	882
845	4815	876
846	4820	870
847	4826	865
848	4831	859
849	4837	853
850	4843	847
851	4848	842
852	4853	836
853	4859	830
854	4864	824
855	4870	819
856	4876	813
857	4882	808
858	4887	802
859	4890	796
860	4896	790
861	4898	784
862	4903	778
863	4909	772
864	4916	767
865	4921	761
866	4925	755
867	4930	749
868	4936	744
869	4941	738
870	4946	732
871	4953	727
872	4958	721
873	4965	715
874	4967	709
875	4973	704
876	4977	698
877	4983	692
878	4989	686
879	4994	681
880	5000	675
881	5006	669
882	5011	664
883	5017	658
884	5023	652
885	5029	647
886	5035	641
887	5040	635
888	5045	630
889	5051	624
890	5057	618
891	5063	613
892	5068	607
893	5075	601
894	5081	596
895	5086	590
896	5089	584
897	5095	578
898	5101	573
899	5106	567
900	5112	561
901	5118	556
902	5125	550
903	5130	544
904	5135	539
905	5141	533
906	5147	527
907	5152	522
908	5159	516
909	5164	510
910	5170	505
911	5175	499
912	5181	493
913	5186	487
914	5191	482
915	5197	476
916	5203	470
917	5208	465
918	5213	459
919	5218	453
920	5224	448
921	5229	442
922	5235	436
923	5240	431
924	5246	425
925	5250	419
926	5255	413
927	5261	408
928	5267	402
929	5273	396
930	5279	391
931	5284	385
932	5290	379
933	5295	374
934	5300	368
935	5306	362
936	5311	357
937	5316	351
938	5322	345
939	5328	340
940	5334	334
941	5340	328
942	5345	323
943	5350	317
944	5356	311
945	5361	306
946	5367	300
947	5373	294
948	5383	289
949	5388	283
950	5394	277
951	5399	272
952	5405	266
953	5410	260
954	5415	255
955	5421	249
956	5426	243
957	5431	238
958	5437	232
959	5443	226
960	5449	221
961	5454	215
962	5460	209
963	5464	204
964	5470	198
965	5475	192
966	5480	187
967	5486	181
968	5492	175
969	5497	170
970	5503	164
971	5509	158
972	5515	153
973	5521	147
974	5527	141
975	5533	136
976	5538	130
977	5543	124
978	5549	119
979	5555	113
980	5560	107
981	5566	102
982	5572	96
983	5576	90
984	5582	85
985	5586	79
986	5592	73
987	5598	67
988	5604	62
989	5609	56
990	5615	51
991	5620	45
992	5627	39
993	5633	34
994	5639	28
995	5644	22
996	5650	17
997	5656	11
998	5662	5
999	5667	0
