iter	Logloss
0	0.6819722773
1	0.6713202653
2	0.6601546141
3	0.6491636631
4	0.6393412876
5	0.6284173649
6	0.6188871157
7	0.6098141492
8	0.60057889
9	0.5918338287
10	0.5831129864
11	0.573617926
12	0.56537094
13	0.5568479544
14	0.5492114715
15	0.5418691564
16	0.5343313089
17	0.5263090322
18	0.518614786
19	0.5108672693
20	0.5034289257
21	0.4963773337
22	0.4900663029
23	0.4839464927
24	0.4775671101
25	0.4720077431
26	0.4662866794
27	0.460864653
28	0.4551846873
29	0.4494243212
30	0.443635081
31	0.4378656607
32	0.4324466017
33	0.4277580658
34	0.4226285321
35	0.41726236
36	0.4126061669
37	0.4086407299
38	0.404165795
39	0.4003988274
40	0.3960715324
41	0.3924403817
42	0.3882237186
43	0.3847188242
44	0.3807104086
45	0.3767302239
46	0.3728670842
47	0.369046805
48	0.3660231305
49	0.3623484886
50	0.3595334364
51	0.3562302669
52	0.3528956197
53	0.3493634929
54	0.3460549552
55	0.3429693675
56	0.3404315391
57	0.3375281749
58	0.3349740027
59	0.3326377249
60	0.3299371933
61	0.3269366427
62	0.3248557556
63	0.3222075352
64	0.3199325004
65	0.3175448993
66	0.3154411534
67	0.3129368738
68	0.3111936456
69	0.3088533368
70	0.3067877342
71	0.3045191118
72	0.3029341903
73	0.3009557701
74	0.2988700063
75	0.2967577697
76	0.294913332
77	0.2936246491
78	0.2914819688
79	0.2900892785
80	0.2883982843
81	0.2866226667
82	0.2846818074
83	0.283308986
84	0.2818552626
85	0.2804883574
86	0.2794685216
87	0.2778612479
88	0.2764514072
89	0.2751820326
90	0.2737619186
91	0.2720452353
92	0.2707903772
93	0.2697011678
94	0.2687578991
95	0.2675968844
96	0.2663842044
97	0.2655658838
98	0.264315508
99	0.2628200753
100	0.261865201
101	0.2605791946
102	0.2597257576
103	0.258875574
104	0.257969116
105	0.2568225524
106	0.2558000691
107	0.2547642644
108	0.2535984785
109	0.2529575861
110	0.2522693365
111	0.2517217877
112	0.2507821525
113	0.2499527235
114	0.2495020769
115	0.2484947013
116	0.2479695569
117	0.2470799544
118	0.2466757451
119	0.2459431016
120	0.2452902
121	0.2443383801
122	0.2435883785
123	0.2432364188
124	0.2426884598
125	0.2420844336
126	0.2414658915
127	0.2408156569
128	0.2401481109
129	0.2393005909
130	0.2389441558
131	0.2381487762
132	0.2376125056
133	0.2370963467
134	0.236542088
135	0.2358589673
136	0.2351919721
137	0.2345028673
138	0.2338013929
139	0.2333498279
140	0.2327955357
141	0.2321974734
142	0.2317269725
